x_rel_mm,y_rel_mm,value
-40,106,1.964862
-42,106,1.146524
-44,106,1.167398
-46,106,1.143163
-48,106,1.161705
-50,106,1.149715
-52,106,1.143684
-54,106,1.165574
-56,106,1.138328
-58,106,1.123355
-60,106,1.169336
-62,106,1.154852
-64,106,1.165061
-66,106,1.154833
-68,106,1.19682
-70,106,1.170825
-72,106,1.133396
-74,106,1.152617
-76,106,1.147614
-78,106,1.153404
-80,106,1.142563
-82,106,1.130578
-84,106,1.141162
-86,106,1.148547
-88,106,1.144921
-90,106,1.134804
-92,106,1.133213
-94,106,1.135849
-96,104,1.112147
-94,104,1.159281
-92,104,1.14987
-90,104,1.115426
-88,104,1.129365
-86,104,1.126342
-84,104,1.142864
-82,104,1.147813
-80,104,1.129435
-78,104,1.130076
-76,104,1.150234
-74,104,1.136055
-72,104,1.126963
-70,104,1.111052
-68,104,1.246626
-66,104,1.206453
-64,104,1.188498
-62,104,1.219707
-60,104,1.261812
-58,104,1.109499
-56,104,1.154825
-54,104,1.142587
-52,104,1.150652
-50,104,1.143648
-48,104,1.134665
-46,104,1.15273
-44,104,1.159049
-42,104,1.154156
-40,104,1.969106
-38,104,1.967048
-36,104,1.963305
-34,104,1.966018
-32,104,1.957494
-30,104,1.956813
-28,104,1.955799
-26,104,1.963318
-24,104,1.955506
-22,104,1.950251
-20,104,1.956605
-18,104,1.952489
-16,104,1.95331
-14,104,1.957131
-12,104,1.968028
-10,104,1.975074
-8,104,1.962417
-6,104,1.967735
-4,104,1.945802
-2,104,1.950761
0,104,1.953092
2,104,1.957016
4,104,1.960225
6,104,1.957328
8,104,1.956458
10,104,1.955839
12,104,1.965321
14,104,1.960948
16,104,1.972751
18,104,1.966839
20,104,1.955282
22,104,1.962199
24,104,1.962906
26,104,1.960874
28,104,1.970603
30,104,1.960807
32,104,1.962005
34,104,1.97614
36,104,1.973264
38,104,1.974143
40,104,1.977612
42,104,1.158094
44,104,1.180116
46,104,1.155173
48,104,1.158221
50,104,1.263585
52,104,1.171782
54,104,1.147746
56,104,1.132018
58,104,1.13157
60,104,1.133569
62,104,1.126096
64,104,1.142602
66,104,1.149513
68,104,1.165863
70,104,1.161744
72,104,1.157624
74,104,1.144137
76,104,1.164622
78,104,1.15511
80,104,1.161235
82,104,1.145124
84,104,1.170174
86,104,1.159217
88,104,1.153313
90,104,1.165373
92,104,1.184432
94,104,1.149802
96,104,1.152851
98,102,1.177517
96,102,1.138801
94,102,1.129467
92,102,1.134646
90,102,1.166235
88,102,1.168165
86,102,1.134642
84,102,1.164569
82,102,1.148198
80,102,1.181868
78,102,1.157765
76,102,1.164665
74,102,1.152747
72,102,1.167954
70,102,1.149443
68,102,1.144461
66,102,1.160761
64,102,1.129171
62,102,1.164648
60,102,1.156634
58,102,1.150979
56,102,1.17754
54,102,1.190473
52,102,1.159425
50,102,1.079578
48,102,1.219322
46,102,1.159983
44,102,1.16122
42,102,1.179773
40,102,1.9708
38,102,1.976932
36,102,1.971639
34,102,1.979263
32,102,1.962922
30,102,1.959299
28,102,1.972684
26,102,1.962255
24,102,1.956685
22,102,1.950922
20,102,1.959529
18,102,1.968157
16,102,1.968522
14,102,1.96377
12,102,1.965874
10,102,1.957271
8,102,1.956986
6,102,1.961177
4,102,1.962455
2,102,1.958977
0,102,1.956565
-2,102,1.94644
-4,102,1.950405
-6,102,1.962201
-8,102,1.965087
-10,102,1.965515
-12,102,1.967479
-14,102,1.959228
-16,102,1.957001
-18,102,1.958441
-20,102,1.964455
-22,102,1.957499
-24,102,1.949535
-26,102,1.964722
-28,102,1.957014
-30,102,1.95892
-32,102,1.961371
-34,102,1.961553
-36,102,1.96672
-38,102,1.972686
-40,102,1.9756
-42,102,1.150476
-44,102,1.148524
-46,102,1.154426
-48,102,1.153921
-50,102,1.164923
-52,102,1.153894
-54,102,1.182309
-56,102,1.14532
-58,102,1.143441
-60,102,1.151487
-62,102,1.098421
-64,102,1.160919
-66,102,1.174776
-68,102,1.200683
-70,102,1.157361
-72,102,1.146242
-74,102,1.152441
-76,102,1.160429
-78,102,1.163435
-80,102,1.128539
-82,102,1.13279
-84,102,1.139037
-86,102,1.149422
-88,102,1.142631
-90,102,1.105139
-92,102,1.100819
-94,102,1.144691
-96,102,1.114673
-98,102,1.113099
-100,100,1.152069
-98,100,1.126263
-96,100,1.118734
-94,100,1.149138
-92,100,1.096826
-90,100,1.111774
-88,100,1.12707
-86,100,1.141487
-84,100,1.134851
-82,100,1.139249
-80,100,1.139593
-78,100,1.127647
-76,100,1.136922
-74,100,1.161118
-72,100,1.14476
-70,100,1.140033
-68,100,1.208677
-66,100,1.173304
-64,100,1.238067
-62,100,1.129591
-60,100,1.15743
-58,100,1.146556
-56,100,1.153355
-54,100,1.152366
-52,100,1.156388
-50,100,1.169776
-48,100,1.15514
-46,100,1.152406
-44,100,1.141454
-42,100,1.147053
-40,100,1.973115
-38,100,1.973463
-36,100,1.966103
-34,100,1.960401
-32,100,1.965102
-30,100,1.950756
-28,100,1.962173
-26,100,1.955247
-24,100,1.948643
-22,100,1.960642
-20,100,1.959459
-18,100,1.956089
-16,100,1.953988
-14,100,1.957433
-12,100,1.964482
-10,100,1.962648
-8,100,1.959962
-6,100,1.963939
-4,100,1.948116
-2,100,1.955679
0,100,1.94954
2,100,1.959458
4,100,1.961197
6,100,1.96071
8,100,1.959989
10,100,1.956347
12,100,1.965023
14,100,1.968562
16,100,1.966785
18,100,1.963199
20,100,1.956186
22,100,1.952728
